Month,AQI
2015-01,319.0
2015-02,285.39622641509436
2015-03,221.33333333333334
2015-04,183.698224852071
2015-05,181.81621621621622
2015-06,168.03333333333333
2015-07,149.625
2015-08,156.3279569892473
2015-09,165.0677966101695
2015-10,209.41176470588235
2015-11,202.0972972972973
2015-12,202.95081967213116
2016-01,210.59259259259258
2016-02,225.88268156424581
2016-03,188.3762886597938
2016-04,187.98994974874373
2016-05,160.93
2016-06,147.36627906976744
2016-07,124.66960352422907
2016-08,126.9364406779661
2016-09,135.328
2016-10,184.4269230769231
2016-11,195.65702479338842
2016-12,210.34222222222223
2017-01,213.29338842975207
2017-02,209.27227722772278
2017-03,168.64661654135338
2017-04,175.26694915254237
2017-05,156.25210084033614
2017-06,122.12704918032787
2017-07,89.53639846743295
2017-08,88.28571428571429
2017-09,103.40892193308551
2017-10,192.33467741935485
2017-11,202.9668508287293
2017-12,202.40821256038646
2018-01,209.42130750605327
2018-02,189.8047619047619
2018-03,166.75266524520256
2018-04,136.3694117647059
2018-05,143.9029535864979
2018-06,129.94142259414227
2018-07,92.33150183150182
2018-08,96.92911877394636
2018-09,99.30066815144767
2018-10,165.51859099804307
2018-11,203.6740890688259
2018-12,206.04206500956022
2019-01,210.1294964028777
2019-02,177.1252446183953
2019-03,149.479020979021
2019-04,133.996336996337
2019-05,137.79049295774647
2019-06,115.5880149812734
2019-07,89.14646464646465
2019-08,84.74137931034483
2019-09,83.22385620915033
2019-10,126.65315315315316
2019-11,174.19448698315466
2019-12,177.9278350515464
2020-01,163.05374823196604
2020-02,145.4319775596073
2020-03,107.63599458728011
2020-04,86.71805555555555
2020-05,87.4462915601023
2020-06,75.84782608695652
2020-07,72.5
